iter	MAE
418	6.145855748
419	6.145604234
420	6.145354528
421	6.14508379
422	6.144767312
423	6.144411776
424	6.14417147
425	6.143873405
426	6.143562583
427	6.143362245
428	6.143185255
429	6.143110998
430	6.143020831
431	6.14293732
432	6.14268834
433	6.142529146
434	6.142439752
435	6.142022979
436	6.141642513
437	6.141378519
438	6.141263739
439	6.141188398
440	6.140786514
441	6.140472855
442	6.140281507
443	6.139753194
444	6.139669403
445	6.139262309
446	6.139115709
447	6.13880738
448	6.138656447
449	6.13848539
450	6.138180473
451	6.137934346
452	6.137841189
453	6.137703757
454	6.137173892
455	6.136849647
456	6.136546387
457	6.136132352
458	6.135958854
459	6.135733489
460	6.135237424
461	6.135050756
462	6.134940497
463	6.134630649
464	6.134422699
465	6.13391342
466	6.133823068
467	6.133461766
468	6.133304426
469	6.133200602
470	6.132806042
471	6.132479877
472	6.132317568
473	6.131949102
474	6.131825877
475	6.131660869
476	6.1314778
477	6.131204013
478	6.130977111
479	6.130546326
480	6.130359436
481	6.130114954
482	6.129986985
483	6.129583517
484	6.129167051
485	6.12890656
486	6.128640013
487	6.12829693
488	6.128186562
489	6.127656543
490	6.127410479
491	6.126980191
492	6.126797741
493	6.126471157
494	6.126116252
495	6.125843315
496	6.125667481
497	6.125311834
498	6.125058086
499	6.124915512
500	6.124582519
501	6.124405426
502	6.124349932
503	6.124171727
504	6.124010287
505	6.123860564
506	6.123485596
507	6.12322961
508	6.123126481
509	6.123001153
510	6.122607032
511	6.122564102
512	6.122325459
513	6.122134454
514	6.121744126
515	6.121575589
516	6.121486203
517	6.121220889
518	6.121208041
519	6.121038393
520	6.120724881
521	6.120658995
522	6.120531408
523	6.120339699
524	6.120007628
525	6.119736508
526	6.119623865
527	6.119478489
528	6.119118689
529	6.118866242
530	6.118508729
531	6.118158964
532	6.117919498
533	6.117641494
534	6.117495974
535	6.117391453
536	6.11722687
537	6.117093257
538	6.116753746
539	6.116613181
540	6.116370327
541	6.116224213
542	6.115920751
543	6.115769398
544	6.115610501
545	6.115342987
546	6.115304146
547	6.114942889
548	6.114674409
549	6.114358999
550	6.114131972
551	6.113852784
552	6.113651289
553	6.113300627
554	6.113073204
555	6.112939604
556	6.11283204
557	6.1124061
558	6.112134416
559	6.111967489
560	6.111726408
561	6.111471039
562	6.111195703
563	6.110925008
564	6.110878807
565	6.110680945
566	6.110483402
567	6.110222074
568	6.109929481
569	6.109730683
570	6.109641578
571	6.109502379
572	6.10933078
573	6.109001702
574	6.108709398
575	6.108674243
576	6.108442534
577	6.108117243
578	6.107992892
579	6.107871057
580	6.107561902
581	6.107547091
582	6.107519834
583	6.107346067
584	6.107245037
585	6.107004675
586	6.106788418
587	6.106664464
588	6.106481786
589	6.106319702
590	6.106132814
591	6.105959636
592	6.105860385
593	6.105751066
594	6.105538615
595	6.105158979
596	6.10492804
597	6.104846143
598	6.104496762
599	6.10439603
600	6.10397275
601	6.103865497
602	6.103597643
603	6.103503969
604	6.103376107
605	6.103335451
606	6.103213867
607	6.102969105
608	6.102903362
609	6.102772777
610	6.102282802
611	6.102099221
612	6.10196938
613	6.101788242
614	6.101743418
615	6.101496984
616	6.101366445
617	6.10113823
618	6.101054941
619	6.100933356
620	6.100928535
621	6.100716982
622	6.100402724
623	6.099942307
624	6.099797421
625	6.099648733
626	6.099400793
627	6.099221215
628	6.098951757
629	6.098849844
630	6.098691336
631	6.098464012
632	6.098327074
633	6.09825794
634	6.098026185
635	6.097878698
636	6.097578452
637	6.097461578
638	6.097164629
639	6.097079289
640	6.096852788
641	6.096704374
642	6.09647305
643	6.096164108
644	6.095705459
645	6.09547039
646	6.095177169
647	6.094997851
648	6.094680413
649	6.094428831
650	6.094314322
651	6.094051646
652	6.093722897
653	6.093271501
654	6.092919736
655	6.092706781
656	6.09260412
657	6.09240145
658	6.092079092
659	6.09171568
660	6.091342851
661	6.091098569
662	6.090807879
663	6.090607724
664	6.090509241
665	6.090442766
666	6.090293601
667	6.090156097
668	6.090080713
669	6.089946422
670	6.089874531
671	6.089741818
672	6.08964902
673	6.089437532
674	6.089246616
675	6.08872788
676	6.088636936
677	6.08842712
678	6.088171263
679	6.088048017
680	6.08792941
681	6.087723813
682	6.087451073
683	6.087301022
684	6.087236147
685	6.086993593
686	6.086773935
687	6.086644682
688	6.086392099
689	6.086180415
690	6.08600925
691	6.085851621
692	6.08562399
693	6.085512084
694	6.085373219
695	6.08518177
696	6.085086709
697	6.084829913
698	6.084764485
699	6.084586949
700	6.084451828
701	6.08435053
702	6.084164796
703	6.083976717
704	6.083655272
705	6.083590386
706	6.083481282
707	6.08342077
708	6.083311573
709	6.083132199
710	6.082972032
711	6.082715388
712	6.082586092
713	6.082487775
714	6.082212609
715	6.082028129
716	6.08183495
717	6.081553861
718	6.08134488
719	6.081306823
720	6.081127472
721	6.080907831
722	6.080678878
723	6.080309865
724	6.080032286
725	6.079800619
726	6.07964251
727	6.079510924
728	6.079280742
729	6.078944536
730	6.078754347
731	6.078580771
732	6.07854286
733	6.078371435
734	6.078286585
735	6.078222161
736	6.077975466
737	6.077672469
738	6.077447315
739	6.07710118
740	6.076970194
741	6.076825964
742	6.076524034
743	6.076102827
744	6.07577413
745	6.07533345
746	6.075143249
747	6.074974314
748	6.074910411
749	6.074773794
750	6.074499503
751	6.074333123
752	6.074295594
753	6.074206439
754	6.073924267
755	6.073530284
756	6.073497935
757	6.073161045
758	6.072924832
759	6.072841147
760	6.072580476
761	6.072505869
762	6.072390151
763	6.072222774
764	6.071995226
765	6.071794303
766	6.071461687
767	6.071349078
768	6.071135081
769	6.071046019
770	6.070806776
771	6.070718387
772	6.070459731
773	6.070162402
